bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1924016,2160,HR79,1,Introduced,2025-01-16,"Recognizing the city of Palestine.","Recognizing the city of Palestine.",0,,2025-01-16,Filed,https://legiscan.com/TX/bill/HR79/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR79
1923275,2160,HR80,1,Introduced,2025-01-16,"Recognizing February 19, 2025, as Northeast Texas Regional Alliance Day at the State Capitol.","Recognizing February 19, 2025, as Northeast Texas Regional Alliance Day at the State Capitol.",0,,2025-01-16,Filed,https://legiscan.com/TX/bill/HR80/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR80
1927049,2160,HR81,1,Introduced,2025-01-17,"Commemorating the 95th anniversary of Our Mother of Mercy Catholic Church in Fort Worth.","Commemorating the 95th anniversary of Our Mother of Mercy Catholic Church in Fort Worth.",0,,2025-01-17,Filed,https://legiscan.com/TX/bill/HR81/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR81
1926966,2160,HR82,1,Introduced,2025-01-17,"Congratulating Panther City BBQ in Fort Worth on earning a 2024 Michelin Recommended designation.","Congratulating Panther City BBQ in Fort Worth on earning a 2024 Michelin Recommended designation.",0,,2025-01-17,Filed,https://legiscan.com/TX/bill/HR82/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR82
1927176,2160,HR83,1,Introduced,2025-01-17,"Recognizing April 16, 2025, as Refugio County Day at the State Capitol.","Recognizing April 16, 2025, as Refugio County Day at the State Capitol.",0,,2025-01-17,Filed,https://legiscan.com/TX/bill/HR83/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR83
1926919,2160,HR84,1,Introduced,2025-01-17,"Congratulating Chief Michael Kester on his retirement from the Harlingen Police Department.","Congratulating Chief Michael Kester on his retirement from the Harlingen Police Department.",0,,2025-01-17,Filed,https://legiscan.com/TX/bill/HR84/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR84
1933858,2160,HR85,1,Introduced,2025-01-22,"In memory of Crystal Garcia Mendoza.","In memory of Crystal Garcia Mendoza.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR85/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR85
1934174,2160,HR86,1,Introduced,2025-01-22,"Congratulating Panther City BBQ in Fort Worth on earning a 2024 Michelin Recommended designation.","Congratulating Panther City BBQ in Fort Worth on earning a 2024 Michelin Recommended designation.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR86/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR86
1934433,2160,HR87,1,Introduced,2025-01-22,"Commemorating the opening of the Rabbi Samuel Karff Memorial Bridge in Houston.","Commemorating the opening of the Rabbi Samuel Karff Memorial Bridge in Houston.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR87/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR87
1934421,2160,HR88,1,Introduced,2025-01-22,"In memory of James Bobbitt of the Flower Mound Fire Department.","In memory of James Bobbitt of the Flower Mound Fire Department.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HR88/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR88
