bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1890826,3026531,text,12736,text/html,Introduced,https://legiscan.com/TX/text/HB887/id/3026531,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00887I.htm
1891493,3027024,text,26045,text/html,Introduced,https://legiscan.com/TX/text/HB888/id/3027024,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00888I.htm
1890631,3026401,text,13303,text/html,Introduced,https://legiscan.com/TX/text/HB889/id/3026401,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00889I.htm
1890987,3026647,text,189213,text/html,Introduced,https://legiscan.com/TX/text/HB890/id/3026647,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00890I.htm
1890532,3026342,text,122093,text/html,Introduced,https://legiscan.com/TX/text/HB891/id/3026342,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00891I.htm
1890557,3026355,text,11340,text/html,Introduced,https://legiscan.com/TX/text/HB892/id/3026355,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00892I.htm
1891729,3027196,text,127211,text/html,Introduced,https://legiscan.com/TX/text/HB893/id/3027196,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00893I.htm
1890945,3026619,text,7269,text/html,Introduced,https://legiscan.com/TX/text/HB894/id/3026619,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00894I.htm
1890930,3026609,text,230141,text/html,Introduced,https://legiscan.com/TX/text/HB895/id/3026609,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00895I.htm
1891433,3026980,text,26570,text/html,Introduced,https://legiscan.com/TX/text/HB896/id/3026980,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00896I.htm
1890787,3026503,text,8608,text/html,Introduced,https://legiscan.com/TX/text/HB897/id/3026503,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00897I.htm
1891221,3026819,text,72226,text/html,Introduced,https://legiscan.com/TX/text/HB898/id/3026819,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00898I.htm
1891563,3027077,text,11000,text/html,Introduced,https://legiscan.com/TX/text/HB899/id/3027077,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00899I.htm
1890729,3027939,text,9804,text/html,Introduced,https://legiscan.com/TX/text/HB901/id/3027939,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00901I.htm
1890336,3026211,text,15400,text/html,Introduced,https://legiscan.com/TX/text/HB902/id/3026211,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00902I.htm
1890640,3026406,text,14419,text/html,Introduced,https://legiscan.com/TX/text/HB903/id/3026406,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00903I.htm
1891710,3027182,text,7693,text/html,Introduced,https://legiscan.com/TX/text/HB904/id/3027182,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00904I.htm
1890290,3026186,text,13064,text/html,Introduced,https://legiscan.com/TX/text/HB905/id/3026186,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00905I.htm
1890956,3026628,text,11535,text/html,Introduced,https://legiscan.com/TX/text/HB906/id/3026628,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00906I.htm
1891146,3026763,text,9982,text/html,Introduced,https://legiscan.com/TX/text/HB907/id/3026763,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00907I.htm
1891199,3026804,text,16372,text/html,Introduced,https://legiscan.com/TX/text/HB908/id/3026804,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00908I.htm
1891118,3026743,text,203718,text/html,Introduced,https://legiscan.com/TX/text/HB909/id/3026743,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00909I.htm
1891632,3027125,text,10416,text/html,Introduced,https://legiscan.com/TX/text/HB910/id/3027125,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00910I.htm
1891604,3027106,text,10570,text/html,Introduced,https://legiscan.com/TX/text/HB911/id/3027106,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00911I.htm
1891686,3027162,text,6758,text/html,Introduced,https://legiscan.com/TX/text/HB912/id/3027162,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00912I.htm
1891110,3026738,text,14953,text/html,Introduced,https://legiscan.com/TX/text/HB913/id/3026738,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00913I.htm
1890773,3026493,text,293092,text/html,Introduced,https://legiscan.com/TX/text/HB914/id/3026493,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00914I.htm
1891021,3026671,text,4073,text/html,Introduced,https://legiscan.com/TX/text/HB915/id/3026671,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00915I.htm
1890335,3027462,text,82893,text/html,Introduced,https://legiscan.com/TX/text/HB916/id/3027462,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00916I.htm
1890921,3026603,text,7101,text/html,Introduced,https://legiscan.com/TX/text/HB917/id/3026603,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00917I.htm
1891079,3026716,text,11034,text/html,Introduced,https://legiscan.com/TX/text/HB918/id/3026716,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00918I.htm
1891631,3027719,text,8823,text/html,Introduced,https://legiscan.com/TX/text/HB919/id/3027719,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00919I.htm
1890612,3026389,text,9133,text/html,Introduced,https://legiscan.com/TX/text/HB920/id/3026389,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00920I.htm
1890658,3026418,text,8181,text/html,Introduced,https://legiscan.com/TX/text/HB921/id/3026418,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00921I.htm
1891733,3027199,text,54682,text/html,Introduced,https://legiscan.com/TX/text/HB922/id/3027199,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00922I.htm
1890553,3027906,text,19698,text/html,Introduced,https://legiscan.com/TX/text/HB923/id/3027906,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00923I.htm
1890716,3026458,text,18588,text/html,Introduced,https://legiscan.com/TX/text/HB924/id/3026458,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00924I.htm
1891154,3026768,text,5374,text/html,Introduced,https://legiscan.com/TX/text/HB925/id/3026768,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00925I.htm
1890372,3027807,text,11142,text/html,Introduced,https://legiscan.com/TX/text/HB926/id/3027807,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00926I.htm
1890869,3026565,text,5134,text/html,Introduced,https://legiscan.com/TX/text/HB927/id/3026565,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00927I.htm
1890813,3026523,text,9194,text/html,Introduced,https://legiscan.com/TX/text/HB928/id/3026523,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00928I.htm
1891112,3027329,text,8612,text/html,Introduced,https://legiscan.com/TX/text/HB929/id/3027329,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00929I.htm
1890635,3026405,text,8504,text/html,Introduced,https://legiscan.com/TX/text/HB930/id/3026405,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00930I.htm
1890552,3026353,text,71004,text/html,Introduced,https://legiscan.com/TX/text/HB931/id/3026353,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00931I.htm
1891416,3026965,text,263030,text/html,Introduced,https://legiscan.com/TX/text/HB932/id/3026965,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00932I.htm
1890524,3026337,text,30083,text/html,Introduced,https://legiscan.com/TX/text/HB933/id/3026337,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00933I.htm
1890624,3026397,text,7086,text/html,Introduced,https://legiscan.com/TX/text/HB934/id/3026397,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00934I.htm
1890258,3027772,text,11401,text/html,Introduced,https://legiscan.com/TX/text/HB935/id/3027772,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00935I.htm
1891117,3026742,text,11639,text/html,Introduced,https://legiscan.com/TX/text/HB936/id/3026742,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00936I.htm
1891244,3026832,text,11276,text/html,Introduced,https://legiscan.com/TX/text/HB937/id/3026832,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00937I.htm
1890402,3026254,text,16290,text/html,Introduced,https://legiscan.com/TX/text/HB938/id/3026254,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00938I.htm
1891429,3026976,text,7125,text/html,Introduced,https://legiscan.com/TX/text/HB939/id/3026976,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00939I.htm
1890377,3026237,text,28171,text/html,Introduced,https://legiscan.com/TX/text/HB940/id/3026237,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00940I.htm
1890710,3026454,text,93489,text/html,Introduced,https://legiscan.com/TX/text/HB941/id/3026454,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00941I.htm
1890720,3026461,text,25209,text/html,Introduced,https://legiscan.com/TX/text/HB942/id/3026461,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00942I.htm
1891680,3027157,text,28328,text/html,Introduced,https://legiscan.com/TX/text/HB943/id/3027157,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00943I.htm
1890307,3027234,text,47672,text/html,Introduced,https://legiscan.com/TX/text/HB944/id/3027234,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00944I.htm
1890440,3026279,text,5469,text/html,Introduced,https://legiscan.com/TX/text/HB945/id/3026279,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00945I.htm
1891460,3027342,text,12346,text/html,Introduced,https://legiscan.com/TX/text/HB946/id/3027342,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00946I.htm
